route_number,operator_ref,mean_headway_seconds,stddev_headway_seconds,headway_regularity_pct,meets_regularity_threshold
CR7,DAMY,466.41509433962267,2958.7465474547616,634.3590898669189,False
CR8,DAMY,91.11111111111111,228.61904265976332,250.9233395046183,False
CR9,DAMY,660.0,2765.347144136918,418.9919915358966,False
D2,SWWD,60.0,0.0,0.0,True
D3,SWWD,60.0,0.0,0.0,True
L3,WDBC,512.4,3198.951078087941,624.3073922888253,False
L5,WDBC,2060.0,6928.203230275509,336.3205451590053,False
MHDRT,SWWD,60.0,0.0,0.0,True
NFB,WDBC,63.673469387755105,25.71428571428571,40.38461538461538,False
NFG,BLUS,60.0,0.0,0.0,True
NFR,WDBC,63.6,18.818141485800123,29.588272776415288,False
NW2,TDTR,559.0243902439024,3082.1095088251236,551.3372158020509,False
ONE,WDBC,303.39622641509436,1771.9512749380883,584.0386664907878,False
PD3,SWWD,60.0,0.0,0.0,True
PR11,SWWD,60.0,0.0,0.0,True
PR15,SWWD,60.0,0.0,0.0,True
PR3,SWWD,596.6666666666666,3943.678485880917,660.9517015442877,False
PR7,SWWD,60.0,0.0,0.0,True
PR9,SWWD,210.0,1102.2703842524302,524.8906591678239,False
PRH,BLUS,463.84615384615387,2746.6201360846576,592.1403278457802,False
PVDRT,SWWD,62.35294117647059,11.76235270583528,18.86415056596224,True
Q1,WDBC,60.0,0.0,0.0,True
Q7,WDBC,916.551724137931,4612.6722003179675,503.26370883830344,False
QC,BLUS,60.0,0.0,0.0,True
R1,SWWD,60.0,0.0,0.0,True
R10,SWWD,157.77777777777777,718.5169912163988,455.3980930244781,False
R12,SWWD,60.0,0.0,0.0,True
R14,SWWD,60.0,0.0,0.0,True
R2,SWWD,62.4,16.97056274847714,27.196414661021056,False
R23,TDTR,60.0,0.0,0.0,True
R24,TDTR,60.0,0.0,0.0,True
R26,TDTR,60.0,0.0,0.0,True
R4,SWWD,60.0,0.0,0.0,True
R5,SWWD,81.50943396226415,156.5910429015055,192.11401096712478,False
R6,SWWD,60.0,0.0,0.0,True
R8,SWWD,60.0,0.0,0.0,True
SL,SVCT,6894.545454545455,22667.62288535627,328.7761758160852,False
SSS,TDTR,60.0,0.0,0.0,True
ST,SWWD,138.88888888888889,471.11936822794377,339.2059451241195,False
TB1,SQ,60.0,0.0,0.0,True
TDB,SVCT,60.0,0.0,0.0,True
