operator_ref,route_number,pulled_at,recorded_at,vehicle_ref,latitude,longitude,bearing,avl_id,avl_time_of_day,source_file,service_ref,line_ref,journey_code,departure_time,days_of_week,stop_count,sched_time_of_day,time_diff,disruption_count,avg_disruption_duration,avg_fare_gbp
SVCT,202,2026-07-20T14:24:52.252+05:45,2026-07-20T20:09:33.000+05:45,1517,50.69601,-1.311513,,15487,51873,,,,,,,,,,11,134.45454545454547,3.074930362116992
BLUS,1,2026-07-20T14:04:07.496+05:45,2026-07-20T19:48:38.000+05:45,1749,50.908801,-1.408153,41,15495,50618,BODS_PH1121126_204_20260830_124.xml,PH1121126:204,BLUS:PH1121126:204:1,VJ396,2026-07-21T19:45:00.000+05:45,Saturday,47,50400,218,11,159.9090909090909,2.940955284552847
BLUS,1,2026-07-20T14:06:53.175+05:45,2026-07-20T19:51:39.000+05:45,1813,50.909428,-1.404737,175,15497,50799,BODS_PH1121126_204_20260830_124.xml,PH1121126:204,BLUS:PH1121126:204:1,VJ118,2026-07-21T19:55:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,43,51000,201,11,159.9090909090909,2.940955284552847
WDBC,13,2026-07-20T14:23:45.622+05:45,2026-07-20T20:08:36.000+05:45,1674,50.726909,-1.864279,297,15502,51816,,,,,,,,,,9,148.33333333333334,3.1657190635451506
SVCT,1,2026-07-20T14:04:57.214+05:45,2026-07-20T17:32:38.000+05:45,1320,50.69795,-1.294053,,15509,42458,,,,,,,,,,13,104.84615384615384,3.074930362116992
WDBC,16,2026-07-20T14:31:29.596+05:45,2026-07-20T20:16:16.000+05:45,1847,50.739149,-1.920355,,15522,52276,,,,,,,,,,13,130.46153846153845,3.1657190635451506
SWWD,PD3,2026-07-20T14:38:38.675+05:45,2026-07-20T20:23:31.000+05:45,2748,51.109342,-1.680332,248,15529,52711,,,,,,,,,,7,122.57142857142857,3.5063780260707635
SWWD,907,2026-07-20T14:10:12.575+05:45,2026-07-20T19:55:00.000+05:45,1599,50.989711,-1.757308,,15540,51000,,,,,,,,,,14,140.78571428571428,3.5063780260707635
SWWD,R2,2026-07-20T14:16:34.526+05:45,2026-07-20T20:01:26.000+05:45,402,51.074464,-1.787052,51,15555,51386,,,,,,,,,,8,85.875,3.5063780260707635
WDBC,1C,2026-07-20T13:59:58.980+05:45,2026-07-20T15:21:27.000+05:45,246,50.719131,-1.876064,,15570,34587,,,,,,,,,,10,128.0,3.1657190635451506
SVCT,9,2026-07-20T14:25:25.565+05:45,2026-07-20T20:10:11.000+05:45,1311,50.726391,-1.214769,272,15572,51911,,,,,,,,,,4,125.75,3.074930362116992
WDBC,1C,2026-07-20T14:30:23.803+05:45,2026-07-20T20:14:51.000+05:45,235,50.726702,-1.817973,,15574,52191,,,,,,,,,,10,128.0,3.1657190635451506
WDBC,1A,2026-07-20T14:05:46.677+05:45,2026-07-20T19:50:43.000+05:45,2272,50.735834,-1.778535,72,15576,50743,,,,,,,,,,13,123.84615384615384,3.1657190635451506
TDTR,48A,2026-07-20T14:13:48.607+05:45,2026-07-20T19:58:12.000+05:45,278,51.424795,-1.676495,206,15580,51192,,,,,,,,,,12,120.08333333333333,3.189354473386184
SVCT,38,2026-07-20T14:17:57.544+05:45,2026-07-20T20:02:24.000+05:45,3813,50.69514,-1.304173,235,15587,51444,,,,,,,,,,13,121.46153846153847,3.074930362116992
BLUS,7,2026-07-20T14:00:48.742+05:45,2026-07-20T19:45:27.000+05:45,1751,50.894791,-1.352388,280,15591,50427,BODS_PH1121126_298_20260718_117.xml,PH1121126:298,BLUS:PH1121126:298:7,VJ160,2026-07-21T19:28:00.000+05:45,Sunday,24,49380,1047,12,138.91666666666666,2.940955284552847
WDBC,6,2026-07-20T13:50:34.519+05:45,2026-07-20T19:35:08.000+05:45,249,50.795378,-1.981909,326,15593,49808,,,,,,,,,,9,124.11111111111111,3.1657190635451506
WDBC,L5,2026-07-20T14:01:05.161+05:45,2026-07-20T13:31:15.000+05:45,1102,50.741575,-2.059525,,15606,27975,,,,,,,,,,10,119.6,3.1657190635451506
WDBC,17,2026-07-20T14:35:53.342+05:45,2026-07-20T20:20:34.000+05:45,2258,50.74263,-1.948122,63,15619,52534,,,,,,,,,,14,137.14285714285714,3.1657190635451506
SWWD,R5,2026-07-20T14:19:36.738+05:45,2026-07-20T19:11:31.000+05:45,2726,51.068562,-1.794445,,15624,48391,,,,,,,,,,12,139.25,3.5063780260707635
BLUS,N18,2026-07-20T13:54:26.649+05:45,2026-07-20T09:11:31.000+05:45,1803,50.906859,-1.403564,,15633,12391,BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:N18,VJ255,2026-07-21T01:08:00.000+05:45,Sunday,29,69780,57389,16,121.9375,2.940955284552847
BLUS,PR1,2026-07-20T14:31:13.123+05:45,2026-07-19T20:30:43.000+05:45,1633,50.934522,-1.467276,,15645,53143,BODS_PH1121126_575_20260531_15.xml,PH1121126:575,BLUS:PH1121126:575:PR1,VJ123,2026-07-21T20:30:00.000+05:45,Saturday,2,53100,43,13,115.07692307692308,2.940955284552847
BLUS,17,2026-07-20T14:31:46.259+05:45,2026-07-20T20:16:42.000+05:45,1559,50.934682,-1.463846,140,15646,52302,BODS_PH1121126_302_20260601_125.xml,PH1121126:302,BLUS:PH1121126:302:17,VJ152,2026-07-21T20:20:00.000+05:45,Sunday,53,52500,198,14,124.21428571428571,2.940955284552847
DAMY,CR7,2026-07-20T14:05:46.677+05:45,2026-07-20T13:31:03.000+05:45,3819,50.849649,-2.160447,,15649,27963,,,,,,,,,,13,110.84615384615384,3.508187134502923
DAMY,CR8,2026-07-20T14:24:02.310+05:45,2026-07-20T20:08:37.000+05:45,1112,50.612043,-2.45349,,15656,51817,,,,,,,,,,6,182.83333333333334,3.508187134502923
SVCT,3,2026-07-20T14:38:38.675+05:45,2026-07-20T20:23:29.000+05:45,1747,50.6268,-1.179044,,15658,52709,,,,,,,,,,8,128.875,3.074930362116992
BLUS,9,2026-07-20T13:59:25.874+05:45,2026-07-20T19:44:15.000+05:45,1634,50.867801,-1.404625,320,15685,50355,BODS_PH1121126_198_20260830_116.xml,PH1121126:198,BLUS:PH1121126:198:9,VJ95,2026-07-21T19:40:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,62,50100,255,6,118.5,2.940955284552847
BLUS,19a,2026-07-20T14:24:02.310+05:45,2026-07-20T20:08:55.000+05:45,6940,50.927269,-1.415871,159,15691,51835,BODS_PH1121126_506_20260830_118.xml,PH1121126:506,BLUS:PH1121126:506:19a,VJ158,2026-07-21T19:50:00.000+05:45,Saturday,49,50700,1135,14,126.35714285714286,2.940955284552847
WDBC,6,2026-07-20T14:31:13.123+05:45,2026-07-20T17:56:08.000+05:45,1608,50.756482,-1.928877,,15711,43868,,,,,,,,,,9,124.11111111111111,3.1657190635451506
